,Team,Season Year,Player 01,Player 02,Player 03,Player 04,Player 05,Player 06,Player 07,Player 08,Player 09,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15
128,HOU,2023,Jalen Green,Kevin Porter Jr.,Jabari Smith Jr.,Eric Gordon,Jae'Sean Tate,Kenyon Martin Jr.,Tari Eason,Garrison Mathews,Daishen Nix,Usman Garuba,Boban Marjanović,,,,
129,UTA,2023,Lauri Markkanen,Kelly Olynyk,Jordan Clarkson,Mike Conley,Jarred Vanderbilt,Malik Beasley,Talen Horton-Tucker,Rudy Gay,Walker Kessler,Collin Sexton,Simone Fontecchio,,,,
130,DAL,2023,Reggie Bullock,Luka Dončić,Dorian Finney-Smith,Spencer Dinwiddie,JaVale McGee,Maxi Kleber,Tim Hardaway Jr.,Christian Wood,Josh Green,Facundo Campazzo,,,,,
131,BRK,2023,Kyrie Irving,Kevin Durant,Royce O'Neale,Ben Simmons,Nic Claxton,Yuta Watanabe,David Duke Jr.,Patty Mills,Edmond Sumner,,,,,,
132,MIA,2023,Bam Adebayo,Jimmy Butler,Kyle Lowry,Tyler Herro,Caleb Martin,Max Strus,Gabe Vincent,Duncan Robinson,Nikola Jović,,,,,,
133,GSW,2023,Stephen Curry,Andrew Wiggins,Draymond Green,Kevon Looney,Klay Thompson,Jordan Poole,JaMychal Green,Moses Moody,James Wiseman,Ty Jerome,,,,,
134,LAC,2023,Reggie Jackson,Ivica Zubac,Norman Powell,Paul George,Terance Mann,Nicolas Batum,John Wall,Luke Kennard,Robert Covington,Amir Coffey,Moses Brown,Moussa Diabaté,Brandon Boston Jr.,,
135,OKC,2023,Aaron Wiggins,Luguentz Dort,Shai Gilgeous-Alexander,Tre Mann,Jeremiah Robinson-Earl,Aleksej Pokusevski,Kenrich Williams,Darius Bazley,Ousmane Dieng,Mike Muscala,Isaiah Joe,,,,
136,MEM,2023,Desmond Bane,Ja Morant,Santi Aldama,Dillon Brooks,Steven Adams,Jake LaRavia,Tyus Jones,Brandon Clarke,David Roddy,,,,,,
137,SAC,2023,Keegan Murray,Harrison Barnes,De'Aaron Fox,Domantas Sabonis,Kevin Huerter,Malik Monk,Chimezie Metu,Davion Mitchell,Terence Davis,Richaun Holmes,Chima Moneke,Alex Len,,,
138,CLE,2023,Donovan Mitchell,Caris LeVert,Evan Mobley,Jarrett Allen,Dean Wade,Cedi Osman,Kevin Love,Raul Neto,Isaac Okoro,,,,,,
139,BOS,2023,Jaylen Brown,Jayson Tatum,Al Horford,Marcus Smart,Derrick White,Luke Kornet,Malcolm Brogdon,Sam Hauser,Blake Griffin,Noah Vonleh,,,,,
140,UTA,2023,Jarred Vanderbilt,Lauri Markkanen,Mike Conley,Jordan Clarkson,Kelly Olynyk,Malik Beasley,Talen Horton-Tucker,Ochai Agbaji,Collin Sexton,Leandro Bolmaro,Nickeil Alexander-Walker,Udoka Azubuike,Micah Potter,,
141,DEN,2023,Bruce Brown,Michael Porter Jr.,Nikola Jokić,Aaron Gordon,Jamal Murray,Christian Braun,Jeff Green,Bones Hyland,DeAndre Jordan,Ish Smith,Vlatko Čančar,Zeke Nnaji,Peyton Watson,Jack White,
142,ATL,2023,Dejounte Murray,Trae Young,John Collins,Clint Capela,De'Andre Hunter,Aaron Holiday,Justin Holiday,Onyeka Okongwu,Jalen Johnson,AJ Griffin,Frank Kaminsky,Tyrese Martin,Trent Forrest,Vit Krejci,
143,DET,2023,Cade Cunningham,Bojan Bogdanović,Saddiq Bey,Isaiah Stewart,Jaden Ivey,Jalen Duren,Killian Hayes,Cory Joseph,Isaiah Livers,Hamidou Diallo,Kevin Knox,Rodney McGruder,,,
144,NYK,2023,RJ Barrett,Jalen Brunson,Julius Randle,Mitchell Robinson,Evan Fournier,Immanuel Quickley,Isaiah Hartenstein,Obi Toppin,Derrick Rose,Cam Reddish,,,,,
145,MIL,2023,Giannis Antetokounmpo,Jevon Carter,Brook Lopez,Jrue Holiday,Grayson Allen,George Hill,Bobby Portis,Jordan Nwora,Serge Ibaka,Wesley Matthews,,,,,
146,LAL,2023,LeBron James,Troy Brown Jr.,Patrick Beverley,Lonnie Walker IV,Damian Jones,Russell Westbrook,Austin Reaves,Wenyen Gabriel,Kendrick Nunn,,,,,,
147,MIN,2023,Anthony Edwards,Rudy Gobert,Karl-Anthony Towns,D'Angelo Russell,Jaden McDaniels,Taurean Prince,Jaylen Nowell,Austin Rivers,Bryn Forbes,,,,,,
148,CHO,2023,Dennis Smith Jr.,Gordon Hayward,P.J. Washington,Kelly Oubre Jr.,Mason Plumlee,James Bouknight,Jalen McDaniels,Théo Maledon,Nick Richards,JT Thor,Mark Williams,Kai Jones,Bryce McGowens,,
149,ORL,2023,Paolo Banchero,Bol Bol,Wendell Carter Jr.,Terrence Ross,Franz Wagner,Chuma Okeke,R.J. Hampton,Caleb Houstan,Mo Bamba,Admiral Schofield,Kevon Harris,,,,
150,NOP,2023,Naji Marshall,CJ McCollum,Trey Murphy III,Jonas Valančiūnas,Jose Alvarado,Devonte' Graham,Garrett Temple,Larry Nance Jr.,Willy Hernangómez,Jaxson Hayes,Dereon Seabron,,,,
151,PHO,2023,Devin Booker,Mikal Bridges,Chris Paul,Cameron Johnson,Deandre Ayton,Bismack Biyombo,Cameron Payne,Torrey Craig,Landry Shamet,Jock Landale,Damion Lee,Duane Washington Jr.,Josh Okogie,,
152,HOU,2023,Kevin Porter Jr.,Eric Gordon,Jabari Smith Jr.,Jalen Green,Alperen Şengün,Jae'Sean Tate,Kenyon Martin Jr.,Tari Eason,Garrison Mathews,Daishen Nix,Usman Garuba,,,,
153,POR,2023,Anfernee Simons,Jerami Grant,Josh Hart,Jusuf Nurkić,Shaedon Sharpe,Justise Winslow,Keon Johnson,Nassir Little,Drew Eubanks,,,,,,
154,CHI,2023,DeMar DeRozan,Nikola Vučević,Alex Caruso,Ayo Dosunmu,Patrick Williams,Coby White,Javonte Green,Andre Drummond,Goran Dragić,Derrick Jones Jr.,,,,,
155,SAS,2023,Keldon Johnson,Tre Jones,Jeremy Sochan,Josh Richardson,Jakob Poeltl,Doug McDermott,Zach Collins,Blake Wesley,Keita Bates-Diop,Isaiah Roby,,,,,
156,PHI,2023,Tyrese Maxey,James Harden,De'Anthony Melton,Tobias Harris,P.J. Tucker,Matisse Thybulle,Georges Niang,Montrezl Harrell,Danuel House Jr.,Shake Milton,Jaden Springer,Furkan Korkmaz,Paul Reed,,
157,TOR,2023,OG Anunoby,Pascal Siakam,Fred VanVleet,Gary Trent Jr.,Scottie Barnes,Chris Boucher,Precious Achiuwa,Christian Koloko,Dalano Banton,Malachi Flynn,Thaddeus Young,Justin Champagnie,Juancho Hernangómez,,
158,IND,2023,Tyrese Haliburton,Buddy Hield,Myles Turner,Jalen Smith,Aaron Nesmith,Bennedict Mathurin,Andrew Nembhard,Isaiah Jackson,T.J. McConnell,Chris Duarte,Goga Bitadze,,,,
159,WAS,2023,Kyle Kuzma,Bradley Beal,Monte Morris,Kristaps Porziņģis,Deni Avdija,Will Barton,Rui Hachimura,Daniel Gafford,Johnny Davis,Anthony Gill,Vernon Carey Jr.,Jordan Schakel,Isaiah Todd,,
160,IND,2023,Buddy Hield,Jalen Smith,Tyrese Haliburton,Isaiah Jackson,Chris Duarte,Bennedict Mathurin,Andrew Nembhard,James Johnson,Goga Bitadze,Oshae Brissett,,,,,
161,BRK,2023,Kyrie Irving,Kevin Durant,Royce O'Neale,Ben Simmons,Nic Claxton,Joe Harris,Seth Curry,Yuta Watanabe,Patty Mills,Markieff Morris,,,,,
162,PHI,2023,James Harden,Joel Embiid,Tobias Harris,Tyrese Maxey,P.J. Tucker,De'Anthony Melton,Matisse Thybulle,Georges Niang,Montrezl Harrell,Danuel House Jr.,Shake Milton,,,,
163,CHI,2023,Nikola Vučević,Alex Caruso,DeMar DeRozan,Zach LaVine,Patrick Williams,Coby White,Javonte Green,Goran Dragić,Derrick Jones Jr.,Dalen Terry,,,,,
164,GSW,2023,Andrew Wiggins,Stephen Curry,Draymond Green,Klay Thompson,Kevon Looney,Jordan Poole,JaMychal Green,Ty Jerome,Moses Moody,James Wiseman,Jonathan Kuminga,,,,
165,CHO,2023,P.J. Washington,Kelly Oubre Jr.,Dennis Smith Jr.,Gordon Hayward,Mason Plumlee,Jalen McDaniels,Nick Richards,Théo Maledon,James Bouknight,JT Thor,,,,,
166,OKC,2023,Shai Gilgeous-Alexander,Luguentz Dort,Aaron Wiggins,Tre Mann,Aleksej Pokusevski,Jalen Williams,Darius Bazley,Kenrich Williams,Mike Muscala,Eugene Omoruyi,Isaiah Joe,Jeremiah Robinson-Earl,,,
167,DAL,2023,Luka Dončić,Reggie Bullock,Spencer Dinwiddie,Dorian Finney-Smith,Dwight Powell,Christian Wood,Maxi Kleber,Tim Hardaway Jr.,Josh Green,Jaden Hardy,,,,,
168,ATL,2023,Trae Young,Dejounte Murray,De'Andre Hunter,John Collins,Clint Capela,Aaron Holiday,Onyeka Okongwu,Jalen Johnson,Justin Holiday,AJ Griffin,,,,,
169,MIL,2023,Jrue Holiday,Brook Lopez,Giannis Antetokounmpo,Jevon Carter,Grayson Allen,Bobby Portis,Wesley Matthews,George Hill,Jordan Nwora,Serge Ibaka,MarJon Beauchamp,,,,
170,MIA,2023,Bam Adebayo,Jimmy Butler,Kyle Lowry,Tyler Herro,Caleb Martin,Max Strus,Gabe Vincent,Udonis Haslem,Duncan Robinson,,,,,,
171,SAC,2023,Kevin Huerter,De'Aaron Fox,Keegan Murray,Harrison Barnes,Domantas Sabonis,Richaun Holmes,Trey Lyles,Malik Monk,Davion Mitchell,Terence Davis,Alex Len,,,,
172,MEM,2023,Desmond Bane,Tyus Jones,Santi Aldama,Dillon Brooks,Steven Adams,John Konchar,David Roddy,Brandon Clarke,Kennedy Chandler,Xavier Tillman Sr.,,,,,
173,UTA,2023,Lauri Markkanen,Kelly Olynyk,Jordan Clarkson,Collin Sexton,Jarred Vanderbilt,Malik Beasley,Nickeil Alexander-Walker,Ochai Agbaji,Talen Horton-Tucker,,,,,,
174,WAS,2023,Bradley Beal,Kyle Kuzma,Kristaps Porziņģis,Monte Morris,Deni Avdija,Rui Hachimura,Anthony Gill,Jordan Goodwin,Will Barton,Daniel Gafford,Johnny Davis,Taj Gibson,Jordan Schakel,Isaiah Todd,
175,BOS,2023,Jaylen Brown,Marcus Smart,Jayson Tatum,Derrick White,Al Horford,Grant Williams,Malcolm Brogdon,Sam Hauser,Luke Kornet,Payton Pritchard,Noah Vonleh,Justin Jackson,,,
176,NYK,2023,Jalen Brunson,Julius Randle,RJ Barrett,Evan Fournier,Mitchell Robinson,Isaiah Hartenstein,Immanuel Quickley,Cam Reddish,Obi Toppin,Derrick Rose,,,,,
177,CLE,2023,Donovan Mitchell,Evan Mobley,Dean Wade,Caris LeVert,Jarrett Allen,Kevin Love,Isaac Okoro,Cedi Osman,Raul Neto,Robin Lopez,,,,,
178,ORL,2023,Franz Wagner,Wendell Carter Jr.,Paolo Banchero,Bol Bol,Terrence Ross,Chuma Okeke,R.J. Hampton,Mo Bamba,Kevon Harris,Admiral Schofield,,,,,
179,DAL,2023,Luka Dončić,Spencer Dinwiddie,Dorian Finney-Smith,Reggie Bullock,JaVale McGee,Tim Hardaway Jr.,Maxi Kleber,Christian Wood,Josh Green,Dwight Powell,,,,,
180,GSW,2023,Jordan Poole,Stephen Curry,Draymond Green,Andrew Wiggins,Kevon Looney,Moses Moody,Jonathan Kuminga,JaMychal Green,Ty Jerome,James Wiseman,Anthony Lamb,,,,
181,DET,2023,Cade Cunningham,Bojan Bogdanović,Saddiq Bey,Isaiah Stewart,Jaden Ivey,Killian Hayes,Isaiah Livers,Jalen Duren,Hamidou Diallo,Cory Joseph,,,,,
182,NOP,2023,Naji Marshall,Trey Murphy III,CJ McCollum,Zion Williamson,Jonas Valančiūnas,Devonte' Graham,Larry Nance Jr.,Jose Alvarado,Jaxson Hayes,Garrett Temple,,,,,
183,LAC,2023,Paul George,Reggie Jackson,Marcus Morris,Ivica Zubac,Terance Mann,Norman Powell,Luke Kennard,John Wall,Nicolas Batum,Amir Coffey,Brandon Boston Jr.,Moses Brown,Moussa Diabaté,,
184,DEN,2023,Nikola Jokić,Kentavious Caldwell-Pope,Jamal Murray,Aaron Gordon,Michael Porter Jr.,Bruce Brown,Jeff Green,Christian Braun,DeAndre Jordan,Ish Smith,Davon Reed,,,,
185,LAL,2023,Anthony Davis,Lonnie Walker IV,LeBron James,Troy Brown Jr.,Patrick Beverley,Russell Westbrook,Austin Reaves,Matt Ryan,Wenyen Gabriel,Kendrick Nunn,Damian Jones,,,,
186,HOU,2023,Kevin Porter Jr.,Jalen Green,Jae'Sean Tate,Alperen Şengün,Jabari Smith Jr.,Kenyon Martin Jr.,Garrison Mathews,Josh Christopher,Usman Garuba,Daishen Nix,Tari Eason,,,,
187,PHO,2023,Devin Booker,Mikal Bridges,Cameron Johnson,Chris Paul,Bismack Biyombo,Jock Landale,Torrey Craig,Cameron Payne,Landry Shamet,Damion Lee,Josh Okogie,Duane Washington Jr.,,,
188,MIN,2023,Anthony Edwards,Jaden McDaniels,Karl-Anthony Towns,D'Angelo Russell,Rudy Gobert,Taurean Prince,Bryn Forbes,Kyle Anderson,Jaylen Nowell,Naz Reid,Austin Rivers,,,,
189,SAS,2023,Keldon Johnson,Romeo Langford,Jakob Poeltl,Tre Jones,Keita Bates-Diop,Doug McDermott,Zach Collins,Malaki Branham,Blake Wesley,Gorgui Dieng,,,,,
190,IND,2023,Chris Duarte,Buddy Hield,Tyrese Haliburton,Jalen Smith,Myles Turner,Bennedict Mathurin,James Johnson,T.J. McConnell,Isaiah Jackson,Goga Bitadze,Andrew Nembhard,Oshae Brissett,,,
191,BRK,2023,Kyrie Irving,Kevin Durant,Royce O'Neale,Nic Claxton,Joe Harris,Yuta Watanabe,Edmond Sumner,Day'Ron Sharpe,Markieff Morris,Patty Mills,,,,,
192,SAC,2023,Harrison Barnes,Kevin Huerter,Keegan Murray,Domantas Sabonis,De'Aaron Fox,Davion Mitchell,Trey Lyles,Malik Monk,Richaun Holmes,Matthew Dellavedova,Terence Davis,Alex Len,,,
193,CHO,2023,Dennis Smith Jr.,P.J. Washington,Gordon Hayward,Mason Plumlee,Kelly Oubre Jr.,Jalen McDaniels,Nick Richards,James Bouknight,Théo Maledon,JT Thor,,,,,
194,HOU,2023,Jalen Green,Kevin Porter Jr.,Jabari Smith Jr.,Eric Gordon,Alperen Şengün,Kenyon Martin Jr.,Garrison Mathews,Tari Eason,Usman Garuba,Daishen Nix,Josh Christopher,,,,
195,LAC,2023,Paul George,Marcus Morris,Luke Kennard,Ivica Zubac,Reggie Jackson,Norman Powell,Nicolas Batum,Terance Mann,Amir Coffey,Brandon Boston Jr.,,,,,
196,DET,2023,Jaden Ivey,Cade Cunningham,Bojan Bogdanović,Isaiah Stewart,Saddiq Bey,Hamidou Diallo,Nerlens Noel,Isaiah Livers,Killian Hayes,,,,,,
197,MIL,2023,Jrue Holiday,Brook Lopez,Giannis Antetokounmpo,Jevon Carter,Grayson Allen,Bobby Portis,Wesley Matthews,George Hill,Jordan Nwora,Serge Ibaka,MarJon Beauchamp,,,,
198,ATL,2023,Trae Young,Dejounte Murray,John Collins,Clint Capela,De'Andre Hunter,Justin Holiday,Onyeka Okongwu,AJ Griffin,Jalen Johnson,Aaron Holiday,Vit Krejci,Frank Kaminsky,Tyrese Martin,Trent Forrest,
199,TOR,2023,Gary Trent Jr.,Pascal Siakam,Scottie Barnes,OG Anunoby,Christian Koloko,Chris Boucher,Precious Achiuwa,Malachi Flynn,Khem Birch,Dalano Banton,Justin Champagnie,Jeff Dowtin,Juancho Hernangómez,Ron Harper Jr.,
200,MEM,2023,Ja Morant,Dillon Brooks,John Konchar,Santi Aldama,Steven Adams,David Roddy,Tyus Jones,Xavier Tillman Sr.,Brandon Clarke,Kennedy Chandler,Kenneth Lofton Jr.,Vince Williams Jr.,,,
201,UTA,2023,Jordan Clarkson,Lauri Markkanen,Mike Conley,Jarred Vanderbilt,Kelly Olynyk,Malik Beasley,Collin Sexton,Ochai Agbaji,Talen Horton-Tucker,Nickeil Alexander-Walker,Udoka Azubuike,Micah Potter,,,
202,PHI,2023,James Harden,Tyrese Maxey,Tobias Harris,De'Anthony Melton,P.J. Tucker,Matisse Thybulle,Danuel House Jr.,Georges Niang,Montrezl Harrell,Shake Milton,Paul Reed,,,,
203,WAS,2023,Bradley Beal,Monte Morris,Kristaps Porziņģis,Kyle Kuzma,Anthony Gill,Will Barton,Rui Hachimura,Deni Avdija,Daniel Gafford,Johnny Davis,Taj Gibson,,,,
204,CHI,2023,Zach LaVine,Ayo Dosunmu,DeMar DeRozan,Nikola Vučević,Patrick Williams,Alex Caruso,Goran Dragić,Derrick Jones Jr.,Javonte Green,,,,,,
205,BRK,2023,Kevin Durant,Nic Claxton,Royce O'Neale,Kyrie Irving,Joe Harris,Yuta Watanabe,Edmond Sumner,David Duke Jr.,Patty Mills,,,,,,
206,GSW,2023,Andrew Wiggins,Stephen Curry,Draymond Green,Klay Thompson,Kevon Looney,Jordan Poole,JaMychal Green,Moses Moody,Ty Jerome,James Wiseman,,,,,
207,MIA,2023,Bam Adebayo,Jimmy Butler,Kyle Lowry,Caleb Martin,Tyler Herro,Max Strus,Gabe Vincent,Duncan Robinson,Dewayne Dedmon,,,,,,
208,ORL,2023,Paolo Banchero,Franz Wagner,Wendell Carter Jr.,Bol Bol,Terrence Ross,Jalen Suggs,R.J. Hampton,Caleb Houstan,Mo Bamba,Chuma Okeke,Kevon Harris,,,,
209,OKC,2023,Shai Gilgeous-Alexander,Luguentz Dort,Josh Giddey,Jeremiah Robinson-Earl,Jalen Williams,Aleksej Pokusevski,Tre Mann,Darius Bazley,Ousmane Dieng,Aaron Wiggins,Isaiah Joe,,,,
210,MIN,2023,Anthony Edwards,Karl-Anthony Towns,Rudy Gobert,D'Angelo Russell,Jaden McDaniels,Jaylen Nowell,Jordan McLaughlin,Taurean Prince,Naz Reid,Kyle Anderson,,,,,
211,PHO,2023,Mikal Bridges,Chris Paul,Cameron Johnson,Devin Booker,Bismack Biyombo,Landry Shamet,Jock Landale,Cameron Payne,Torrey Craig,Damion Lee,Dario Šarić,,,,
212,CHO,2023,Dennis Smith Jr.,P.J. Washington,Kelly Oubre Jr.,Mason Plumlee,Gordon Hayward,Jalen McDaniels,James Bouknight,Théo Maledon,Nick Richards,JT Thor,Kai Jones,,,,
213,CHI,2023,Patrick Williams,Zach LaVine,Nikola Vučević,Ayo Dosunmu,DeMar DeRozan,Javonte Green,Alex Caruso,Derrick Jones Jr.,Goran Dragić,Dalen Terry,,,,,
214,BOS,2023,Jaylen Brown,Jayson Tatum,Al Horford,Marcus Smart,Derrick White,Grant Williams,Malcolm Brogdon,Sam Hauser,Luke Kornet,,,,,,
215,CLE,2023,Caris LeVert,Donovan Mitchell,Darius Garland,Jarrett Allen,Evan Mobley,Dean Wade,Kevin Love,Cedi Osman,Isaac Okoro,Robin Lopez,,,,,
216,UTA,2023,Lauri Markkanen,Jordan Clarkson,Jarred Vanderbilt,Mike Conley,Kelly Olynyk,Collin Sexton,Malik Beasley,Talen Horton-Tucker,Rudy Gay,Walker Kessler,,,,,
217,DAL,2023,Luka Dončić,Spencer Dinwiddie,Reggie Bullock,Dorian Finney-Smith,JaVale McGee,Maxi Kleber,Christian Wood,Tim Hardaway Jr.,Josh Green,Dwight Powell,,,,,
218,LAC,2023,Paul George,Marcus Morris,Reggie Jackson,Ivica Zubac,Luke Kennard,Norman Powell,John Wall,Terance Mann,Nicolas Batum,Moses Brown,Amir Coffey,,,,
219,HOU,2023,Kevin Porter Jr.,Alperen Şengün,Eric Gordon,Jalen Green,Jabari Smith Jr.,Daishen Nix,Kenyon Martin Jr.,Tari Eason,Usman Garuba,Garrison Mathews,,,,,
220,NOP,2023,CJ McCollum,Trey Murphy III,Naji Marshall,Zion Williamson,Jonas Valančiūnas,Larry Nance Jr.,Devonte' Graham,Jose Alvarado,Dyson Daniels,Jaxson Hayes,,,,,
221,LAL,2023,Lonnie Walker IV,LeBron James,Anthony Davis,Patrick Beverley,Troy Brown Jr.,Austin Reaves,Russell Westbrook,Matt Ryan,Wenyen Gabriel,,,,,,
222,SAC,2023,Kevin Huerter,Domantas Sabonis,Harrison Barnes,Davion Mitchell,Keegan Murray,Malik Monk,Matthew Dellavedova,Trey Lyles,Richaun Holmes,Terence Davis,,,,,
223,MIA,2023,Kyle Lowry,Tyler Herro,Max Strus,Bam Adebayo,Caleb Martin,Gabe Vincent,Duncan Robinson,Dewayne Dedmon,,,,,,,
224,DET,2023,Saddiq Bey,Isaiah Stewart,Cade Cunningham,Jaden Ivey,Bojan Bogdanović,Killian Hayes,Isaiah Livers,Nerlens Noel,Hamidou Diallo,Cory Joseph,Kevin Knox,Braxton Key,Rodney McGruder,,
225,MIL,2023,Jrue Holiday,Giannis Antetokounmpo,Brook Lopez,Grayson Allen,Jevon Carter,Jordan Nwora,Bobby Portis,George Hill,MarJon Beauchamp,Wesley Matthews,Serge Ibaka,Thanasis Antetokounmpo,,,
226,ATL,2023,Dejounte Murray,De'Andre Hunter,John Collins,Trae Young,Clint Capela,Aaron Holiday,Onyeka Okongwu,Justin Holiday,Jalen Johnson,AJ Griffin,Frank Kaminsky,Vit Krejci,Tyrese Martin,,
227,NYK,2023,RJ Barrett,Jalen Brunson,Julius Randle,Evan Fournier,Mitchell Robinson,Immanuel Quickley,Isaiah Hartenstein,Obi Toppin,Derrick Rose,Cam Reddish,Quentin Grimes,,,,
228,WAS,2023,Bradley Beal,Kristaps Porziņģis,Kyle Kuzma,Monte Morris,Anthony Gill,Rui Hachimura,Deni Avdija,Will Barton,Daniel Gafford,,,,,,
229,PHI,2023,Tyrese Maxey,James Harden,Tobias Harris,P.J. Tucker,Matisse Thybulle,Georges Niang,Danuel House Jr.,Shake Milton,Montrezl Harrell,Paul Reed,,,,,
230,MEM,2023,Desmond Bane,Steven Adams,Ja Morant,Dillon Brooks,Santi Aldama,Tyus Jones,John Konchar,David Roddy,Brandon Clarke,,,,,,
231,POR,2023,Anfernee Simons,Josh Hart,Jerami Grant,Jusuf Nurkić,Shaedon Sharpe,Justise Winslow,Keon Johnson,Nassir Little,Drew Eubanks,,,,,,
232,TOR,2023,Scottie Barnes,Pascal Siakam,Gary Trent Jr.,OG Anunoby,Christian Koloko,Chris Boucher,Precious Achiuwa,Dalano Banton,Khem Birch,Otto Porter Jr.,Malachi Flynn,Thaddeus Young,Juancho Hernangómez,Jeff Dowtin,
233,SAS,2023,Keita Bates-Diop,Tre Jones,Jakob Poeltl,Romeo Langford,Jeremy Sochan,Zach Collins,Malaki Branham,Doug McDermott,Jordan Hall,Josh Richardson,Gorgui Dieng,Charles Bassey,Dominick Barlow,,
234,DEN,2023,Nikola Jokić,Aaron Gordon,Kentavious Caldwell-Pope,Jamal Murray,Michael Porter Jr.,Bruce Brown,Jeff Green,Davon Reed,Christian Braun,Zeke Nnaji,,,,,
235,OKC,2023,Shai Gilgeous-Alexander,Josh Giddey,Luguentz Dort,Aleksej Pokusevski,Jeremiah Robinson-Earl,Kenrich Williams,Tre Mann,Jalen Williams,Darius Bazley,Mike Muscala,Ousmane Dieng,,,,
236,GSW,2023,Stephen Curry,Klay Thompson,Andrew Wiggins,Draymond Green,Kevon Looney,Jordan Poole,JaMychal Green,Ty Jerome,Moses Moody,James Wiseman,,,,,
237,ORL,2023,Franz Wagner,Jalen Suggs,Paolo Banchero,Wendell Carter Jr.,Bol Bol,Chuma Okeke,Kevon Harris,R.J. Hampton,Mo Bamba,Caleb Houstan,,,,,
238,CHI,2023,Zach LaVine,DeMar DeRozan,Nikola Vučević,Patrick Williams,Ayo Dosunmu,Alex Caruso,Goran Dragić,Javonte Green,Derrick Jones Jr.,,,,,,
239,BOS,2023,Jayson Tatum,Jaylen Brown,Al Horford,Derrick White,Marcus Smart,Malcolm Brogdon,Grant Williams,Sam Hauser,Luke Kornet,,,,,,
240,TOR,2023,OG Anunoby,Scottie Barnes,Gary Trent Jr.,Pascal Siakam,Christian Koloko,Chris Boucher,Precious Achiuwa,Otto Porter Jr.,Thaddeus Young,Dalano Banton,,,,,
241,DAL,2023,Spencer Dinwiddie,Luka Dončić,Dorian Finney-Smith,Dwight Powell,Reggie Bullock,Christian Wood,Josh Green,Tim Hardaway Jr.,Maxi Kleber,JaVale McGee,,,,,
242,CLE,2023,Jarrett Allen,Caris LeVert,Evan Mobley,Dean Wade,Isaac Okoro,Cedi Osman,Raul Neto,Kevin Love,Lamar Stevens,Mamadi Diakite,Robin Lopez,,,,
243,DET,2023,Jaden Ivey,Saddiq Bey,Cade Cunningham,Bojan Bogdanović,Isaiah Stewart,Isaiah Livers,Nerlens Noel,Killian Hayes,Kevin Knox,Cory Joseph,Rodney McGruder,Hamidou Diallo,,,
244,MIA,2023,Max Strus,Tyler Herro,Kyle Lowry,Bam Adebayo,Caleb Martin,Gabe Vincent,Duncan Robinson,Dewayne Dedmon,Haywood Highsmith,,,,,,
245,IND,2023,Buddy Hield,Tyrese Haliburton,Myles Turner,Jalen Smith,Chris Duarte,Bennedict Mathurin,Andrew Nembhard,T.J. McConnell,Isaiah Jackson,Oshae Brissett,,,,,
246,UTA,2023,Lauri Markkanen,Mike Conley,Kelly Olynyk,Jordan Clarkson,Jarred Vanderbilt,Collin Sexton,Talen Horton-Tucker,Malik Beasley,Walker Kessler,Rudy Gay,Nickeil Alexander-Walker,Ochai Agbaji,Udoka Azubuike,Simone Fontecchio,
247,LAL,2023,Anthony Davis,LeBron James,Lonnie Walker IV,Patrick Beverley,Troy Brown Jr.,Russell Westbrook,Austin Reaves,Juan Toscano-Anderson,Wenyen Gabriel,Matt Ryan,Max Christie,Damian Jones,Kendrick Nunn,,
248,CHO,2023,Dennis Smith Jr.,P.J. Washington,Kelly Oubre Jr.,Mason Plumlee,Jalen McDaniels,James Bouknight,JT Thor,Théo Maledon,Nick Richards,Bryce McGowens,Kai Jones,,,,
249,MEM,2023,Ja Morant,Desmond Bane,Dillon Brooks,Steven Adams,Santi Aldama,David Roddy,John Konchar,Jake LaRavia,Brandon Clarke,Tyus Jones,Kennedy Chandler,Xavier Tillman Sr.,Vince Williams Jr.,,
250,MIL,2023,Jrue Holiday,Giannis Antetokounmpo,Brook Lopez,Grayson Allen,Jevon Carter,Bobby Portis,MarJon Beauchamp,George Hill,Jordan Nwora,Wesley Matthews,,,,,
251,MIN,2023,Karl-Anthony Towns,Anthony Edwards,Rudy Gobert,D'Angelo Russell,Jaden McDaniels,Naz Reid,Kyle Anderson,Jaylen Nowell,Taurean Prince,Jordan McLaughlin,,,,,
252,GSW,2023,Jordan Poole,Jonathan Kuminga,Anthony Lamb,Moses Moody,Kevon Looney,Ty Jerome,James Wiseman,JaMychal Green,Ryan Rollins,Patrick Baldwin Jr.,,,,,
253,NOP,2023,Brandon Ingram,CJ McCollum,Herbert Jones,Zion Williamson,Jonas Valančiūnas,Larry Nance Jr.,Trey Murphy III,Jose Alvarado,Devonte' Graham,Naji Marshall,,,,,
254,NYK,2023,RJ Barrett,Julius Randle,Jalen Brunson,Quentin Grimes,Mitchell Robinson,Immanuel Quickley,Isaiah Hartenstein,Obi Toppin,Cam Reddish,Evan Fournier,Derrick Rose,Jericho Sims,,,
255,PHI,2023,Tyrese Maxey,Tobias Harris,De'Anthony Melton,Montrezl Harrell,P.J. Tucker,Georges Niang,Paul Reed,Shake Milton,Matisse Thybulle,Furkan Korkmaz,,,,,
256,POR,2023,Jerami Grant,Josh Hart,Justise Winslow,Shaedon Sharpe,Jusuf Nurkić,Nassir Little,Keon Johnson,Drew Eubanks,Jabari Walker,,,,,,
